Molecule: ./Results/normal_sim_a1.txt 
Step: ['add'], Previous ligand: c1ccccc1, Changed ligand: Pc1ccccc1, New ligand: Pc1ccccc1 
Step: ['remove ring'], Previous ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCC(C)N)c1C=N, Changed ligand: CCC(CCN)C(CC(C)CCCNCC(O)C(O)OCC(C)N)PN, New ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCC(C)N)c1C=N 
Step: ['switch'], Previous ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCC(C)N)c1C=N, Changed ligand: CCC1=C(C=N)CC(CCNCC(=O)C(=O)OCC(C)N)=C(C)C=C1PN, New ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCC(C)N)c1C=N 
Step: ['add'], Previous ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCC(C)N)c1C=N, Changed ligand: CCc1c(PN=O)cc(C)c(CCNCC(=O)C(=O)OCC(C)N)c1C=N, New ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCC(C)N)c1C=N 
Step: ['remove'], Previous ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCC(C)N)c1C=N, Changed ligand: CCc1c(PN)ccc(CCNCC(=O)C(=O)OCC(C)N)c1C=N, New ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCC(C)N)c1C=N 
Step: ['remove'], Previous ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCC(C)N)c1C=N, Changed ligand: CCc1c(PN)cc(C)c(CCNCCC(=O)OCC(C)N)c1C=N, New ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCC(C)N)c1C=N 
Step: ['remove'], Previous ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCC(C)N)c1C=N, Changed ligand: CCc1c(PN)cc(C)c(CNCC(=O)C(=O)OCC(C)N)c1C=N, New ligand: CCc1c(PN)cc(C)c(CNCC(=O)C(=O)OCC(C)N)c1C=N 
Step: ['remove ring'], Previous ligand: CCc1c(PN)cc(C)c(CNCC(=O)C(=O)OCC(C)N)c1C=N, Changed ligand: CCCC(CC(C)C(CCN)CNCC(O)C(O)OCC(C)N)PN, New ligand: CCc1c(PN)cc(C)c(CNCC(=O)C(=O)OCC(C)N)c1C=N 
Step: ['add'], Previous ligand: CCc1c(PN)cc(C)c(CNCC(=O)C(=O)OCC(C)N)c1C=N, Changed ligand: CCc1c(PN)cc(C)c(CNCC(=O)C(=O)OCC(C)(N)S)c1C=N, New ligand: CCc1c(PN)cc(C)c(CNCC(=O)C(=O)OCC(C)N)c1C=N 
Step: ['add'], Previous ligand: CCc1c(PN)cc(C)c(CNCC(=O)C(=O)OCC(C)N)c1C=N, Changed ligand: CCc1c(PN)cc(C)c(C(N)NCC(=O)C(=O)OCC(C)N)c1C=N, New ligand: CCc1c(PN)cc(C)c(CNCC(=O)C(=O)OCC(C)N)c1C=N 
Step: ['remove ring'], Previous ligand: CCc1c(PN)cc(C)c(CNCC(=O)C(=O)OCC(C)N)c1C=N, Changed ligand: CCCC(CC(C)C(CCN)CNCC(O)C(O)OCC(C)N)PN, New ligand: CCc1c(PN)cc(C)c(CNCC(=O)C(=O)OCC(C)N)c1C=N 
Step: ['move_junction'], Previous ligand: CCc1c(PN)cc(C)c(CNCC(=O)C(=O)OCC(C)N)c1C=N, Changed ligand: CCc1c(PN)cc(C)c(CNCC(=O)COC(=O)C(C)N)c1C=N, New ligand: CCc1c(PN)cc(C)c(CNCC(=O)COC(=O)C(C)N)c1C=N 
Step: ['add'], Previous ligand: CCc1c(PN)cc(C)c(CNCC(=O)COC(=O)C(C)N)c1C=N, Changed ligand: CCc1c(C=N)c(CNCC(=O)COC(=O)C(C)N)c(C)c(O)c1PN, New ligand: CCc1c(C=N)c(CNCC(=O)COC(=O)C(C)N)c(C)c(O)c1PN 
Step: ['add'], Previous ligand: CCc1c(C=N)c(CNCC(=O)COC(=O)C(C)N)c(C)c(O)c1PN, Changed ligand: CCC1=C(C=N)C(CNCC(=O)COC(=O)C(C)N)=C(C)C(=O)C1(C)PN, New ligand: CCc1c(C=N)c(CNCC(=O)COC(=O)C(C)N)c(C)c(O)c1PN 
Step: ['move_junction'], Previous ligand: CCc1c(C=N)c(CNCC(=O)COC(=O)C(C)N)c(C)c(O)c1PN, Changed ligand: CCc1c(C=N)c(CNCC(=O)COC(=O)C(C)N)c(C)c(O)c1PN, New ligand: CCc1c(C=N)c(CNCC(=O)COC(=O)C(C)N)c(C)c(O)c1PN 
Step: ['form new ring'], Previous ligand: CCc1c(C=N)c(CNCC(=O)COC(=O)C(C)N)c(C)c(O)c1PN, Changed ligand: CCc1c(C=N)c2c(c(O)c1PN)CN(CC(=O)COC(=O)C(C)N)C2, New ligand: CCc1c(C=N)c2c(c(O)c1PN)CN(CC(=O)COC(=O)C(C)N)C2 
Step: ['move_junction'], Previous ligand: CCc1c(C=N)c2c(c(O)c1PN)CN(CC(=O)COC(=O)C(C)N)C2, Changed ligand: CCc1c(C=N)c2c(c(O)c1PN)CN(CC(=O)COC(=O)CCN)C2, New ligand: CCc1c(C=N)c2c(c(O)c1PN)CN(CC(=O)COC(=O)C(C)N)C2 
