Molecule: ./Results/normal_sim_a2.txt 
Step: ['remove ring'], Previous ligand: CCC=C(N)C1=C(F)C=CC(C=CSN)=CC1, Changed ligand: CCCC(N)C(CCCCCSN)C(F)CC, New ligand: CCC=C(N)C1=C(F)C=CC(C=CSN)=CC1 
Step: ['remove'], Previous ligand: CCC=C(N)C1=C(F)C=CC(C=CSN)=CC1, Changed ligand: CCC=C(N)C1=C(F)C=CC(C=CS)=CC1, New ligand: CCC=C(N)C1=C(F)C=CC(C=CSN)=CC1 
Step: ['switch'], Previous ligand: CCC=C(N)C1=C(F)C=CC(C=CSN)=CC1, Changed ligand: CCCC=C(N)C1=C(F)C=CC(C=CSN)=CC1, New ligand: CCC=C(N)C1=C(F)C=CC(C=CSN)=CC1 
Step: ['remove'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=C(N)S)=CC1, Changed ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1, New ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1 
Step: ['switch'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1, Changed ligand: CCC=C(CCO)C1=C(F)C=CC(C=CS)=CC1, New ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1 
Step: ['remove'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1, Changed ligand: CCC=C(CO)C1=C(F)CC(C=CS)=CC1, New ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1 
Step: ['change type'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1, Changed ligand: OCC(=CCP)C1=C(F)C=CC(C=CS)=CC1, New ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1 
Step: ['add'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1, Changed ligand: CCCC(C)C=C(CO)C1=C(F)C=CC(C=CS)=CC1, New ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1 
Step: ['remove'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1, Changed ligand: CCC=C(CO)c1cc(C=CS)ccc1F, New ligand: CCC=C(CO)c1cc(C=CS)ccc1F 
Step: ['turn ring aromatic'], Previous ligand: CCC=C(CO)c1cc(C=CS)ccc1F, Changed ligand: CCC=C(CO)C1CC(C=CS)CCC1F, New ligand: CCC=C(CO)c1cc(C=CS)ccc1F 
Step: ['change bond type'], Previous ligand: CCC=C(CO)c1cc(C=CS)ccc1F, Changed ligand: CCC=C(CO)c1cc(C=CS)ccc1F, New ligand: CCC=C(CO)c1cc(C=CS)ccc1F 
Step: ['turn ring aromatic'], Previous ligand: CCC=C(CO)c1cc(C=CS)ccc1F, Changed ligand: CCC=C(CO)C1CC(C=CS)CCC1F, New ligand: CCC=C(CO)c1cc(C=CS)ccc1F 
Step: ['move_junction'], Previous ligand: CCC=C(CO)c1cc(C=CS)ccc1F, Changed ligand: CCC=Cc1cc(C(=CS)CO)ccc1F, New ligand: CCC=Cc1cc(C(=CS)CO)ccc1F 
Step: ['remove'], Previous ligand: CCC=Cc1cc(C(=CS)CO)ccc1F, Changed ligand: CCC=CC1=C(F)CC(C(=CS)CO)=C1, New ligand: CCC=Cc1cc(C(=CS)CO)ccc1F 
Step: ['remove'], Previous ligand: CCC=Cc1cc(C(=CS)CO)ccc1F, Changed ligand: CC=Cc1cc(C(=CS)CO)ccc1F, New ligand: CCC=Cc1cc(C(=CS)CO)ccc1F 
Step: ['add'], Previous ligand: CCC=Cc1cc(C(=CS)CO)ccc1F, Changed ligand: CCC=Cc1cc(C(=CS)C(O)CCC)ccc1F, New ligand: CCC=Cc1cc(C(=CS)CO)ccc1F 
Step: ['turn ring aromatic'], Previous ligand: CCC=Cc1cc(C(=CS)CO)ccc1F, Changed ligand: CCC=CC1CC(C(=CS)CO)CCC1F, New ligand: CCC=CC1CC(C(=CS)CO)CCC1F 
Step: ['switch'], Previous ligand: CCC=CC1CC(C(=CS)CO)CCC1F, Changed ligand: CSCC=CC1CC(C(=CS)CO)CCC1F, New ligand: CCC=CC1CC(C(=CS)CO)CCC1F 
Step: ['change type'], Previous ligand: CCC=CC1CC(C(=CS)CO)CCC1F, Changed ligand: CCC=CC1CC(C(=CS)CO)CCC1F, New ligand: CCC=CC1CC(C(=CS)CO)CCC1F 
Step: ['change bond type'], Previous ligand: CCC=CC1CC(C(=CS)CO)CCC1F, Changed ligand: CCC=CC1CC(C(=CS)CO)CCC1F, New ligand: CCC=CC1CC(C(=CS)CO)CCC1F 
Step: ['switch'], Previous ligand: CCC=CC1CC(C(=CS)CO)CCC1F, Changed ligand: CCC=CC1CC(SC(=CS)CO)CCC1F, New ligand: CCC=CC1CC(C(=CS)CO)CCC1F 
Step: ['remove'], Previous ligand: CCC=CC1CC(C(=CS)CO)CCC1F, Changed ligand: CCC=CC1CC(C(=CS)CO)CC1F, New ligand: CCC=CC1CC(C(=CS)CO)CCC1F 
Step: ['remove'], Previous ligand: CCC=CC1CC(C(=CS)CO)CCC1F, Changed ligand: CCCC1CC(C(=CS)CO)CCC1F, New ligand: CCCC1CC(C(=CS)CO)CCC1F 
Step: ['add'], Previous ligand: CCCC1CC(C(=CS)CO)CCC1F, Changed ligand: CCCC1CC(C(=CSC)CO)CCC1F, New ligand: CCCC1CC(C(=CSC)CO)CCC1F 
Step: ['form new ring'], Previous ligand: CCCC1CC(C(=CSC)CO)CCC1F, Changed ligand: CCCC1CC2(CCC1F)CSC=C2CO, New ligand: CCCC1CC(C(=CSC)CO)CCC1F 
Step: ['remove'], Previous ligand: CCCC1CC(C(=CSC)CO)CCC1F, Changed ligand: CCCC1CC(C(CO)SC)CCC1F, New ligand: CCCC1CC(C(=CSC)CO)CCC1F 
Step: ['move_junction'], Previous ligand: CCCC1CC(C(=CSC)CO)CCC1F, Changed ligand: CCCC1CC(CCO)C(=CSC)CC1F, New ligand: CCCC1CC(C(=CSC)CO)CCC1F 
Step: ['remove'], Previous ligand: CCCC1CC(C(=CSC)CO)CCC1F, Changed ligand: CC=C(CO)C1CCC(F)C(CCC)C1, New ligand: CCCC1CC(C(=CSC)CO)CCC1F 
Step: ['remove'], Previous ligand: CCCC1CC(C(=CSC)CO)CCC1F, Changed ligand: CCCC1CC(C(=CSC)CO)CC1F, New ligand: CCCC1CC(C(=CSC)CO)CCC1F 
Step: ['switch'], Previous ligand: CCCC1CC(C(=CSC)CO)CCC1F, Changed ligand: CCC=CC1CC(C(=CSC)CO)CCC1F, New ligand: CCCC1CC(C(=CSC)CO)CCC1F 
Step: ['remove'], Previous ligand: CCCC1CC(C(=CSC)CO)CCC1F, Changed ligand: CCCC1CCCC(C(=CSC)CO)C1, New ligand: CCCC1CC(C(=CSC)CO)CCC1F 
