Molecule: ./Results/3iw7 
Step: remove fragment, Previous ligand: [16*]c1ccccc1, New ligand: [16*]c1ccccc1, Score: 0.11574626865671642 
Step: add fragment, Previous ligand: [16*]c1ccc(C(=O)N2CCC(c3ccccc3)CC2)cc1, New ligand: [8*]Cc1ccc(C(=O)N2CCC(c3ccccc3)CC2)cc1, Score: 0.6848873804381364 
Step: add fragment, Previous ligand: [8*]Cc1ccc(C(=O)N2CCC(c3ccccc3)CC2)cc1, New ligand: [5*]N1CCC(Cc2ccc(C(=O)N3CCC(c4ccccc4)CC3)cc2)CC1, Score: 0.654095062452846 
Step: remove fragment, Previous ligand: [5*]N1CCC(Cc2ccc(C(=O)N3CCC(c4ccccc4)CC3)cc2)CC1, New ligand: [5*]N1CCC(Cc2ccc(C(=O)N3CCC(c4ccccc4)CC3)cc2)CC1, Score: 0.654095062452846 
Step: remove fragment, Previous ligand: [5*]N1CCC(Cc2ccc(C(=O)N3CCC(c4ccccc4)CC3)cc2)CC1, New ligand: [5*]N1CCC(Cc2ccc(C(=O)N3CCC(c4ccccc4)CC3)cc2)CC1, Score: 0.654095062452846 
Step: remove fragment, Previous ligand: [5*]N1CCC(Cc2ccc(C(=O)N3CCC(c4ccccc4)CC3)cc2)CC1, New ligand: [5*]N1CCC(Cc2ccc(C(=O)N3CCC(c4ccccc4)CC3)cc2)CC1, Score: 0.654095062452846 
Step: add fragment, Previous ligand: [5*]N1CCC(Cc2ccc(C(=O)N3CCC(c4ccccc4)CC3)cc2)CC1, New ligand: [5*]N1CCC(Cc2ccc(C(=O)N3CCC(c4ccccc4)CC3)cc2)CC1, Score: 0.654095062452846 
Step: remove fragment, Previous ligand: [5*]N1CCC(Cc2ccc(C(=O)N3CCC(c4ccccc4)CC3)cc2)CC1, New ligand: [5*]N1CCC(Cc2ccc(C(=O)N3CCC([15*])CC3)cc2)CC1, Score: 0.5921832006864107 
Step: add fragment, Previous ligand: [5*]N1CCC(Cc2ccc(C(=O)N3CCC([15*])CC3)cc2)CC1, New ligand: [15*]C1CCN(C(=O)c2ccc(CC3CCN(c4ccc([16*])cc4)CC3)cc2)CC1, Score: 0.6739485679883032 
Step: add fragment, Previous ligand: [15*]C1CCN(C(=O)c2ccc(CC3CCN(c4ccc([16*])cc4)CC3)cc2)CC1, New ligand: [8*]Cc1ccc(N2CCC(Cc3ccc(C(=O)N4CCC([15*])CC4)cc3)CC2)cc1, Score: 0.6017934161166725 
Step: add fragment, Previous ligand: [8*]Cc1ccc(N2CCC(Cc3ccc(C(=O)N4CCC([15*])CC4)cc3)CC2)cc1, New ligand: [8*]Cc1ccc(N2CCC(Cc3ccc(C(=O)N4CCC(c5ccccc5)CC4)cc3)CC2)cc1, Score: 0.5328920364214482 
Step: add fragment, Previous ligand: [8*]Cc1ccc(N2CCC(Cc3ccc(C(=O)N4CCC(c5ccccc5)CC4)cc3)CC2)cc1, New ligand: [8*]Cc1ccc(N2CCC(Cc3ccc(C(=O)N4CCC(c5ccccc5)CC4)cc3)CC2)cc1, Score: 0.5328920364214482 
Step: add fragment, Previous ligand: [8*]Cc1ccc(N2CCC(Cc3ccc(C(=O)N4CCC(c5ccccc5)CC4)cc3)CC2)cc1, New ligand: O=C(c1ccc(CC2CCN(c3ccc(Cc4ccccc4)cc3)CC2)cc1)N1CCC(c2ccccc2)CC1, Score: 0.45082745586133777 
Step: remove fragment, Previous ligand: O=C(c1ccc(CC2CCN(c3ccc(Cc4ccccc4)cc3)CC2)cc1)N1CCC(c2ccccc2)CC1, New ligand: O=C(c1ccc(CC2CCN(c3ccc(Cc4ccccc4)cc3)CC2)cc1)N1CCC(c2ccccc2)CC1, Score: 0.45082745586133777 
Step: remove fragment, Previous ligand: O=C(c1ccc(CC2CCN(c3ccc(Cc4ccccc4)cc3)CC2)cc1)N1CCC(c2ccccc2)CC1, New ligand: [6*]C(=O)N1CCC(c2ccccc2)CC1, Score: 0.41608844834159364 
Step: add fragment, Previous ligand: [6*]C(=O)N1CCC(c2ccccc2)CC1, New ligand: O=C(c1ccccc1)N1CCC(c2ccccc2)CC1, Score: 0.6862858135092899 
Step: remove fragment, Previous ligand: O=C(c1ccccc1)N1CCC(c2ccccc2)CC1, New ligand: O=C(c1ccccc1)N1CCC(c2ccccc2)CC1, Score: 0.6862858135092899 
Step: remove fragment, Previous ligand: O=C(c1ccccc1)N1CCC(c2ccccc2)CC1, New ligand: [6*]C(=O)N1CCC(c2ccccc2)CC1, Score: 0.41608844834159364 
Step: remove fragment, Previous ligand: [6*]C(=O)N1CCC(c2ccccc2)CC1, New ligand: [6*]C(=O)N1CCC(c2ccccc2)CC1, Score: 0.41608844834159364 
