Molecule: ./Results/4lzs_p3 
Step: add fragment, Previous ligand: [5*]NC, New ligand: [6*]C(=O)NC, Score: 0.07428967428967428 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(NC)c1-c1c(C(C)=O)[nH]c(C)c1C(C)=O, New ligand: [6*]C(C)=O, Score: 0.033333333333333326 
Step: add fragment, Previous ligand: [6*]C(C)=O, New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1[16*], Score: 0.33283270755110556 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(C(C)=O)c1[16*], New ligand: [14*]c1[nH]c(C)c([16*])c1[16*], Score: 0.06277777777777778 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1[16*], New ligand: [14*]c1[nH]c(C)c([16*])c1[16*], Score: 0.06277777777777778 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1[16*], New ligand: [14*]c1[nH]c(C)c([16*])c1CC, Score: 0.23217418546365914 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1CC, New ligand: [14*]c1[nH]c(C)c([16*])c1CC, Score: 0.23217418546365914 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1CC, New ligand: [14*]c1[nH]c(C)c([16*])c1CC, Score: 0.23217418546365914 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1CC, New ligand: [14*]c1[nH]c(C)c([16*])c1CC, Score: 0.23217418546365914 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1CC, New ligand: [14*]c1[nH]c(C)c([16*])c1CC, Score: 0.23217418546365914 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1CC, New ligand: [14*]c1[nH]c(C)c(NC)c1CC, Score: 0.4383076923076923 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1CC, New ligand: CCc1c(NC)[nH]c(C)c1NC, Score: 0.5543197616683218 
Step: remove fragment, Previous ligand: CCc1c(NC)[nH]c(C)c1NC, New ligand: [5*]NC, Score: 0.01212121212121212 
Step: add fragment, Previous ligand: [5*]NC, New ligand: [14*]c1[nH]c(C)c(NC)c1[16*], Score: 0.2451127819548872 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1[16*], New ligand: [14*]c1[nH]c(C)c(NC)c1[16*], Score: 0.2451127819548872 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1[16*], New ligand: [14*]c1[nH]c(C)c(NC)c1C(C)=O, Score: 0.5169444444444444 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1C(C)=O, New ligand: CNc1c(C)[nH]c(C(C)=O)c1C(C)=O, Score: 0.7138589981447124 
