Molecule: ./Results/4lzs_n2 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(-c2c(C)[nH]c(-c3[nH]c(C)c(C(C)=O)c3[16*])c2-c2c(C(=O)NC)[nH]c(C)c2CC)c1CC, New ligand: [14*]c1[nH]c(C)c(-c2c(C)[nH]c(-c3[nH]c(C)c(C(C)=O)c3[16*])c2-c2c([14*])[nH]c(C)c2CC)c1CC, Score: 0.2964671953857246 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(-c2c(C)[nH]c(-c3[nH]c(C)c(C(C)=O)c3[16*])c2-c2c([14*])[nH]c(C)c2CC)c1CC, New ligand: [8*]CC, Score: 0.006249999999999999 
Step: add fragment, Previous ligand: [8*]CC, New ligand: [14*]c1[nH]c(C)c([16*])c1CC, Score: 0.23217418546365914 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1CC, New ligand: [16*]c1c(C)[nH]c(CC)c1CC, Score: 0.396 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(CC)c1CC, New ligand: [16*]c1c(C)[nH]c(-c2c(C)[nH]c(CC)c2CC)c1[16*], Score: 0.5179310344827586 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2c(C)[nH]c(CC)c2CC)c1[16*], New ligand: [1*]C(=O)c1c(-c2c(C)[nH]c(CC)c2CC)[nH]c(C)c1[16*], Score: 0.5569040697674419 
Step: add fragment, Previous ligand: [1*]C(=O)c1c(-c2c(C)[nH]c(CC)c2CC)[nH]c(C)c1[16*], New ligand: [16*]c1c(C)[nH]c(-c2c(C)[nH]c(CC)c2CC)c1C(=O)NC, Score: 0.5867298105682952 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2c(C)[nH]c(CC)c2CC)c1C(=O)NC, New ligand: [16*]c1c(C)[nH]c(-c2c(C)[nH]c(-c3c(C)[nH]c(CC)c3CC)c2C(=O)NC)c1[16*], Score: 0.43153870659445687 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2c(C)[nH]c(-c3c(C)[nH]c(CC)c3CC)c2C(=O)NC)c1[16*], New ligand: [16*]c1c(C)[nH]c(-c2c(C)[nH]c(-c3c(C)[nH]c(CC)c3CC)c2C(=O)NC)c1C(C)=O, Score: 0.39253270161705633 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2c(C)[nH]c(-c3c(C)[nH]c(CC)c3CC)c2C(=O)NC)c1C(C)=O, New ligand: CCc1[nH]c(C)c(-c2[nH]c(C)c(-c3[nH]c(C)c(C(C)=O)c3C(C)=O)c2C(=O)NC)c1CC, Score: 0.3590872355597813 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(-c2[nH]c(C)c(-c3[nH]c(C)c(C(C)=O)c3C(C)=O)c2C(=O)NC)c1CC, New ligand: [6*]C(=O)NC, Score: 0.07428967428967428 
Step: remove fragment, Previous ligand: [6*]C(=O)NC, New ligand: [6*]C(=O)NC, Score: 0.07428967428967428 
Step: add fragment, Previous ligand: [6*]C(=O)NC, New ligand: [14*]c1[nH]c(C)c([16*])c1C(=O)NC, Score: 0.3572830188679245 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1C(=O)NC, New ligand: [14*]c1[nH]c(C)c(CC)c1C(=O)NC, Score: 0.6199637023593466 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(CC)c1C(=O)NC, New ligand: [1*]C(=O)c1[nH]c(C)c(CC)c1C(=O)NC, Score: 0.7128571428571429 
Step: remove fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c(CC)c1C(=O)NC, New ligand: [1*]C(=O)c1[nH]c(C)c(CC)c1C(=O)NC, Score: 0.7128571428571429 
Step: add fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c(CC)c1C(=O)NC, New ligand: CCc1c(C)[nH]c(C(=O)NC)c1C(=O)NC, Score: 0.7593103448275862 
Step: remove fragment, Previous ligand: CCc1c(C)[nH]c(C(=O)NC)c1C(=O)NC, New ligand: [16*]c1c(C)[nH]c(C(=O)NC)c1C(=O)NC, Score: 0.6147495361781077 
