Molecule: ./Results/4lzs 
Step: add fragment, Previous ligand: [5*]NC, New ligand: [6*]C(=O)NC, Score: 0.07428967428967428 
Step: remove fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c([16*])c2C(C)=O)c1[16*], New ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c([16*])c2C(C)=O)c1[16*], Score: 0.46365914786967416 
Step: remove fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c([16*])c2C(C)=O)c1[16*], New ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c([16*])c2C(C)=O)c1[16*], Score: 0.46365914786967416 
Step: remove fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c([16*])c2C(C)=O)c1[16*], New ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c([16*])c2C(C)=O)c1[16*], Score: 0.46365914786967416 
Step: remove fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c([16*])c2C(C)=O)c1[16*], New ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c([16*])c2C(C)=O)c1[16*], Score: 0.46365914786967416 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c([16*])c2C(C)=O)c1[16*], New ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c(CC)c2C(C)=O)c1[16*], Score: 0.5949021932424422 
Step: remove fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c(CC)c2C(C)=O)c1[16*], New ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c(CC)c2C(C)=O)c1[16*], Score: 0.5949021932424422 
Step: remove fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c(CC)c2C(C)=O)c1[16*], New ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c([16*])c2C(C)=O)c1[16*], Score: 0.46365914786967416 
Step: remove fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c([16*])c2C(C)=O)c1[16*], New ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c([16*])c2C(C)=O)c1[16*], Score: 0.46365914786967416 
Step: remove fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c([16*])c2C(C)=O)c1[16*], New ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c([16*])c2C(C)=O)c1[16*], Score: 0.46365914786967416 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c([16*])c2C(C)=O)c1[16*], New ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c([16*])c2C(C)=O)c1NC, Score: 0.541092903861031 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c([16*])c2C(C)=O)c1NC, New ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c(NC)c2NC)c1C(C)=O, Score: 0.5277699859747546 
Step: remove fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c(NC)c2NC)c1C(C)=O, New ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c([16*])c2C(C)=O)c1NC, Score: 0.541092903861031 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c([16*])c2C(C)=O)c1NC, New ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c(CC)c2C(C)=O)c1NC, Score: 0.6140493186242699 
