Molecule: ./Serine/specific_frags_1.txt 
Step: add fragment, Previous ligand: [5*]N1CCC[C@@H]([NH3+])C1, New ligand: [5*]N1CCC[C@@H]([NH3+])C1, Score: tensor([0.4731]) 
Step: add fragment, Previous ligand: [14*]c1nc(-c2c[nH]c3ccccc23)nc2cc[nH]c(=O)c12, New ligand: O=c1[nH]ccc2nc(-c3c[nH]c4ccccc34)nc(-c3ccccc3O)c12, Score: tensor([0.6040]) 
Step: remove fragment, Previous ligand: O=c1[nH]ccc2nc(-c3c[nH]c4ccccc34)nc(-c3ccccc3O)c12, New ligand: [16*]c1c[nH]c2ccccc12, Score: tensor([0.6108]) 
Step: add fragment, Previous ligand: [16*]c1c[nH]c2ccccc12, New ligand: [14*]c1cccc(-c2c[nH]c3ccccc23)n1, Score: tensor([0.6313]) 
Step: add fragment, Previous ligand: [16*]c1cnn2c(O)cc(-n3ncc4cnc(N5CCC[C@@H]([NH3+])C5)cc43)nc12, New ligand: N#Cc1ccnc2[nH]c(-c3cnn4c(O)cc(-n5ncc6cnc(N7CCC[C@@H]([NH3+])C7)cc65)nc34)cc12, Score: tensor([0.8327]) 
Step: remove fragment, Previous ligand: N#Cc1ccnc2[nH]c(-c3cnn4c(O)cc(-n5ncc6cnc(N7CCC[C@@H]([NH3+])C7)cc65)nc34)cc12, New ligand: [16*]c1cnn2c(O)cc(-n3ncc4cnc(N5CCC[C@@H]([NH3+])C5)cc43)nc12, Score: tensor([0.8577]) 
Step: add fragment, Previous ligand: [16*]c1cnn2c(O)cc(-n3ncc4cnc(N5CCC[C@@H]([NH3+])C5)cc43)nc12, New ligand: COc1cnn2c(O)cc(-n3ncc4cnc(N5CCC[C@@H]([NH3+])C5)cc43)nc12, Score: tensor([0.8585]) 
Step: remove fragment, Previous ligand: COc1cnn2c(O)cc(-n3ncc4cnc(N5CCC[C@@H]([NH3+])C5)cc43)nc12, New ligand: [16*]c1cnn2c(O)cc(-n3ncc4cnc(N5CCC[C@@H]([NH3+])C5)cc43)nc12, Score: tensor([0.8575]) 
Step: add fragment, Previous ligand: [16*]c1cnn2c(O)cc(-n3ncc4cnc(N5CCC[C@@H]([NH3+])C5)cc43)nc12, New ligand: C[C@@H]1C[C@H]([NH3+])C[C@H](c2cnn3c(O)cc(-n4ncc5cnc(N6CCC[C@@H]([NH3+])C6)cc54)nc23)C1, Score: tensor([0.8110]) 
Step: remove fragment, Previous ligand: C[C@@H]1C[C@H]([NH3+])C[C@H](c2cnn3c(O)cc(-n4ncc5cnc(N6CCC[C@@H]([NH3+])C6)cc54)nc23)C1, New ligand: [14*]c1cc2c(cn1)cnn2-c1cc(O)n2ncc([C@@H]3C[C@H](C)C[C@H]([NH3+])C3)c2n1, Score: tensor([0.8568]) 
Step: add fragment, Previous ligand: [14*]c1cc2c(cn1)cnn2-c1cc(O)n2ncc([C@@H]3C[C@H](C)C[C@H]([NH3+])C3)c2n1, New ligand: [14*]c1cc2c(cn1)cnn2-c1cc(O)n2ncc([C@@H]3C[C@H](C)C[C@H]([NH3+])C3)c2n1, Score: tensor([0.8568]) 
