Molecule: ./P38/random_a2 
Step: add fragment, Previous ligand: [1*]C(=O)C1=C(c2cccc([16*])c2)C[C@@H]2CC[C@H]1N2[5*], New ligand: [1*]C(=O)C1=C(c2cccc([C@@H]3[C@]([13*])(O)N([10*])C(=O)[C@@]3([15*])O)c2)C[C@@H]2CC[C@H]1N2[5*], Score: tensor([0.7059]) 
Step: add fragment, Previous ligand: [5*]N1CCN(C2(F)CCN(C(=O)C3=C(c4cccc([C@@H]5[C@]([13*])(O)N([C@H]6CCOC6)C(=O)[C@@]5([15*])O)c4)C[C@@H]4CC[C@H]3N4C(C)C)CC2)[C@@H]2CS(=O)(=O)C[C@@H]21, New ligand: [5*]N1CCN(C2(F)CCN(C(=O)C3=C(c4cccc([C@@H]5[C@]([13*])(O)N([C@H]6CCOC6)C(=O)[C@@]5([15*])O)c4)C[C@@H]4CC[C@H]3N4C(C)C)CC2)[C@@H]2CS(=O)(=O)C[C@@H]21, Score: tensor([0.6374]) 
Step: add fragment, Previous ligand: [5*]N1CCN(C2(F)CCN(C(=O)C3=C(c4cccc([C@@H]5[C@]([13*])(O)N([C@H]6CCOC6)C(=O)[C@@]5([15*])O)c4)C[C@@H]4CC[C@H]3N4C(C)C)CC2)[C@@H]2CS(=O)(=O)C[C@@H]21, New ligand: [5*]N1CCN(C2(F)CCN(C(=O)C3=C(c4cccc([C@@H]5[C@]([13*])(O)N([C@H]6CCOC6)C(=O)[C@@]5([15*])O)c4)C[C@@H]4CC[C@H]3N4C(C)C)CC2)[C@@H]2CS(=O)(=O)C[C@@H]21, Score: tensor([0.6374]) 
Step: remove fragment, Previous ligand: [5*]N1CCN(C2(F)CCN(C(=O)C3=C(c4cccc([C@@H]5[C@]([13*])(O)N([C@H]6CCOC6)C(=O)[C@@]5([15*])O)c4)C[C@@H]4CC[C@H]3N4C(C)C)CC2)[C@@H]2CS(=O)(=O)C[C@@H]21, New ligand: [13*][C@]1(O)[C@@H]([15*])[C@]([15*])(O)C(=O)N1[C@H]1CCOC1, Score: tensor([0.6604]) 
Step: add fragment, Previous ligand: [13*][C@]1(O)[C@@H]([15*])[C@]([15*])(O)C(=O)N1[C@H]1CCOC1, New ligand: [15*][C@H]1[C@]([15*])(O)C(=O)N([C@H]2CCOC2)[C@]1(O)CC(C)C, Score: tensor([0.5883]) 
Step: add fragment, Previous ligand: [15*][C@H]1[C@]([15*])(O)C(=O)N([C@H]2CCOC2)[C@]1(O)CC(C)C, New ligand: [15*][C@H]1[C@@](O)(N2CCN(C)CC2)C(=O)N([C@H]2CCOC2)[C@]1(O)CC(C)C, Score: tensor([0.6248]) 
Step: remove fragment, Previous ligand: [15*][C@H]1[C@@](O)(N2CCN(C)CC2)C(=O)N([C@H]2CCOC2)[C@]1(O)CC(C)C, New ligand: [15*][C@H]1[C@]([15*])(O)C(=O)N([C@H]2CCOC2)[C@]1(O)CC(C)C, Score: tensor([0.5879]) 
Step: remove fragment, Previous ligand: [15*][C@H]1[C@]([15*])(O)C(=O)N([C@H]2CCOC2)[C@]1(O)CC(C)C, New ligand: [8*]CC(C)C, Score: tensor([0.3933]) 
Step: remove fragment, Previous ligand: [8*]CC(C)C, New ligand: [8*]CC(C)C, Score: tensor([0.3933]) 
Step: remove fragment, Previous ligand: [8*]CC(C)C, New ligand: [8*]CC(C)C, Score: tensor([0.3933]) 
Step: add fragment, Previous ligand: [8*]CC(C)C, New ligand: CC(C)Cc1noc2c1/C(=N/O)CCC2, Score: tensor([0.6972]) 
Step: remove fragment, Previous ligand: CC(C)Cc1noc2c1/C(=N/O)CCC2, New ligand: [14*]c1noc2c1/C(=N/O)CCC2, Score: tensor([0.5990]) 
Step: remove fragment, Previous ligand: [14*]c1noc2c1/C(=N/O)CCC2, New ligand: [14*]c1noc2c1/C(=N/O)CCC2, Score: tensor([0.5990]) 
Step: remove fragment, Previous ligand: [14*]c1noc2c1/C(=N/O)CCC2, New ligand: [14*]c1noc2c1/C(=N/O)CCC2, Score: tensor([0.5990]) 
Step: add fragment, Previous ligand: [14*]c1noc2c1/C(=N/O)CCC2, New ligand: CCC/N=c1\ccn(-c2noc3c2/C(=N/O)CCC3)c2cc(Cl)ccc12, Score: tensor([0.6476]) 
