Molecule: ./Results/normal_sim_a2.txt 
Step: ['change type'], Previous ligand: CCC(=P)CC(OCc1cnnc(C)c1CNCNO)C(C)N, Changed ligand: CCC(=P)CC(OCc1cnnc(C)c1CNSNO)C(C)N, New ligand: CCC(=P)CC(OCc1cnnc(C)c1CNCNO)C(C)N 
Step: ['change type'], Previous ligand: CCC(=P)CC(OCc1cnnc(C)c1CNCNO)C(C)N, Changed ligand: CCC(=P)CC(OCC1=CNOC(C)=C1CNCNO)C(C)N, New ligand: CCC(=P)CC(OCc1cnnc(C)c1CNCNO)C(C)N 
Step: ['change type'], Previous ligand: CCC(=P)CC(OCc1cnnc(C)c1CNCNO)C(C)N, Changed ligand: CCC(=P)CC(OCc1cnnc(C)c1CNCNO)C(N)F, New ligand: CCC(=P)CC(OCc1cnnc(C)c1CNCNO)C(N)F 
Step: ['switch'], Previous ligand: CCC(=P)CC(OCc1cnnc(C)c1CNCNO)C(N)F, Changed ligand: CCC(=P)CC(OCC1=C(CNCNO)C(C)=NCN=C1)C(N)F, New ligand: CCC(=P)CC(OCc1cnnc(C)c1CNCNO)C(N)F 
Step: ['add'], Previous ligand: CCC(=P)CC(OCc1cnnc(C)c1CNCNO)C(N)F, Changed ligand: CCC(=P)CC(OCc1cnnc(C)c1CNCNOS)C(N)F, New ligand: CCC(=P)CC(OCc1cnnc(C)c1CNCNO)C(N)F 
Step: ['add'], Previous ligand: CCC(=P)CC(OCc1cnnc(C)c1CNCNO)C(N)F, Changed ligand: CCC(=P)CC(OCC1(N)C=NN=C(C)C1=CNCNO)C(N)F, New ligand: CCC(=P)CC(OCc1cnnc(C)c1CNCNO)C(N)F 
Step: ['remove'], Previous ligand: CCC(=P)CC(OCc1cnnc(C)c1CNCNO)C(N)F, Changed ligand: CCC(=P)C(OCc1cnnc(C)c1CNCNO)C(N)F, New ligand: CCC(=P)C(OCc1cnnc(C)c1CNCNO)C(N)F 
Step: ['change type'], Previous ligand: CCC(=P)C(OCc1cnnc(C)c1CNCNO)C(N)F, Changed ligand: COC(=P)C(OCc1cnnc(C)c1CNCNO)C(N)F, New ligand: COC(=P)C(OCc1cnnc(C)c1CNCNO)C(N)F 
Step: ['add'], Previous ligand: COC(=P)C(OCc1cnnc(C)c1CNCNO)C(N)F, Changed ligand: C=C1C(=CNCNO)C(=COC(C(=P)OC)C(N)F)C=NN1S, New ligand: COC(=P)C(OCc1cnnc(C)c1CNCNO)C(N)F 
Step: ['switch'], Previous ligand: COC(=P)C(OCc1cnnc(C)c1CNCNO)C(N)F, Changed ligand: COC(=P)C(OCC1=C(CNCNO)[SH2]C(C)=NN=C1)C(N)F, New ligand: COC(=P)C(OCc1cnnc(C)c1CNCNO)C(N)F 
Step: ['switch'], Previous ligand: COC(=P)C(OCc1cnnc(C)c1CNCNO)C(N)F, Changed ligand: COC(CP)C(OCc1cnnc(C)c1CNCNO)C(N)F, New ligand: COC(=P)C(OCc1cnnc(C)c1CNCNO)C(N)F 
Step: ['remove ring'], Previous ligand: COC(=P)C(OCc1cnnc(C)c1CNCNO)C(N)F, Changed ligand: CCC(CNCNO)C(CNN)COC(C(N)F)C(P)OC, New ligand: COC(=P)C(OCc1cnnc(C)c1CNCNO)C(N)F 
Step: ['turn ring aromatic'], Previous ligand: COC(=P)C(OCc1cnnc(C)c1CNCNO)C(N)F, Changed ligand: COC(=P)C(OCC1CNNC(C)C1CNCNO)C(N)F, New ligand: COC(=P)C(OCc1cnnc(C)c1CNCNO)C(N)F 
Step: ['change type'], Previous ligand: COC(=P)C(OCc1cnnc(C)c1CNCNO)C(N)F, Changed ligand: COC(=P)C(OCc1cnnc(C)c1CNCNO)N(N)F, New ligand: COC(=P)C(OCc1cnnc(C)c1CNCNO)N(N)F 
Step: ['move_junction'], Previous ligand: COC(=P)C(OCc1cnnc(C)c1CNCNO)N(N)F, Changed ligand: COC(C=P)(OCc1cnnc(C)c1CNCNO)N(N)F, New ligand: COC(C=P)(OCc1cnnc(C)c1CNCNO)N(N)F 
Step: ['remove'], Previous ligand: COC(C=P)(OCc1cnnc(C)c1CNCNO)N(N)F, Changed ligand: COC(C=P)(OCc1cnncc1CNCNO)N(N)F, New ligand: COC(C=P)(OCc1cnnc(C)c1CNCNO)N(N)F 
Step: ['change type'], Previous ligand: COC(C=P)(OCc1cnnc(C)c1CNCNO)N(N)F, Changed ligand: COC(C=P)(OCc1cnnc(C)c1CNCNO)N(N)F, New ligand: COC(C=P)(OCc1cnnc(C)c1CNCNO)N(N)F 
Step: ['move_junction'], Previous ligand: COC(C=P)(OCc1cnnc(C)c1CNCNO)N(N)F, Changed ligand: COC(C=P)(OCc1cnncc1CN(C)CNO)N(N)F, New ligand: COC(C=P)(OCc1cnnc(C)c1CNCNO)N(N)F 
