Molecule: ./Results/normal_sim_a1.txt 
Step: ['switch'], Previous ligand: CCCC(C)CCc1cccn(O)c1=S, Changed ligand: CCCC(CC)CCc1cccn(O)c1=S, New ligand: CCCC(CC)CCc1cccn(O)c1=S 
Step: ['remove'], Previous ligand: CCCC(CC)CCc1cccn(O)c1=S, Changed ligand: CCCC(CC)Cc1cccn(O)c1=S, New ligand: CCCC(CC)Cc1cccn(O)c1=S 
Step: ['remove'], Previous ligand: CCCC(CC)Cc1cccn(O)c1=S, Changed ligand: CCCC(CC)CC1=CCN(O)C1=S, New ligand: CCCC(CC)Cc1cccn(O)c1=S 
Step: ['move_junction'], Previous ligand: CCCC(CC)Cc1cccn(O)c1=S, Changed ligand: CCCC(C)CCc1cccn(O)c1=S, New ligand: CCCC(C)CCc1cccn(O)c1=S 
Step: ['add'], Previous ligand: CCCC(C)CCc1cccn(O)c1=S, Changed ligand: CCCC(C)CCc1ccc(O)n(O)c1=S, New ligand: CCCC(C)CCc1ccc(O)n(O)c1=S 
Step: ['add'], Previous ligand: CCCC(C)CCc1ccc(O)n(O)c1=S, Changed ligand: CCCC(C)CC(C)c1ccc(O)n(O)c1=S, New ligand: CCCC(C)CCc1ccc(O)n(O)c1=S 
Step: ['remove'], Previous ligand: CCCC(C)CCc1ccc(O)n(O)c1=S, Changed ligand: CCCC(C)CCc1cccn(O)c1=S, New ligand: CCCC(C)CCc1cccn(O)c1=S 
Step: ['remove'], Previous ligand: CCCC(C)CCc1cccn(O)c1=S, Changed ligand: CCC(C)CCc1cccn(O)c1=S, New ligand: CCCC(C)CCc1cccn(O)c1=S 
Step: ['switch'], Previous ligand: CCCC(C)CCc1cccn(O)c1=S, Changed ligand: CCCC(CCc1cccn(O)c1=S)OC, New ligand: CCCC(CCc1cccn(O)c1=S)OC 
Step: ['turn ring aromatic'], Previous ligand: CCCC(CCc1cccn(O)c1=S)OC, Changed ligand: CCCC(CCC1CCCN(O)C1=S)OC, New ligand: CCCC(CCc1cccn(O)c1=S)OC 
Step: ['change type'], Previous ligand: CCCC(CCc1cccn(O)c1=S)OC, Changed ligand: COC(CCc1cccn(O)c1=S)CSC, New ligand: COC(CCc1cccn(O)c1=S)CSC 
Step: ['remove'], Previous ligand: COC(CCc1cccn(O)c1=S)CSC, Changed ligand: COC(CS)CCc1cccn(O)c1=S, New ligand: COC(CCc1cccn(O)c1=S)CSC 
Step: ['add'], Previous ligand: COC(CCc1cccn(O)c1=S)CSC, Changed ligand: COC(N)(CCc1cccn(O)c1=S)CSC, New ligand: COC(N)(CCc1cccn(O)c1=S)CSC 
Step: ['move_junction'], Previous ligand: COC(N)(CCc1cccn(O)c1=S)CSC, Changed ligand: COC(N)(CCc1cn(O)ccc1=S)CSC, New ligand: COC(N)(CCc1cccn(O)c1=S)CSC 
