Molecule: ./Bromo/random_a2 
Step: remove fragment, Previous ligand: [13*][C@H]1C[C@@H]([C@H]2C[C@@H](N3CCC([15*])CC3)[C@H](c3ccccc3-c3ccc(S(=O)(=O)NC(=N)N)cc3)O2)[C@@H]([13*])O1, New ligand: [13*][C@H]1C[C@@H]([C@H]2C[C@@H](N3CCC([15*])CC3)[C@H](c3ccccc3-c3ccc(S(=O)(=O)NC(=N)N)cc3)O2)[C@@H]([13*])O1, Score: tensor([0.8322]) 
Step: remove fragment, Previous ligand: [13*][C@H]1C[C@@H]([C@H]2C[C@@H](N3CCC([15*])CC3)[C@H](c3ccccc3-c3ccc(S(=O)(=O)NC(=N)N)cc3)O2)[C@@H]([13*])O1, New ligand: [13*][C@H]1C[C@@H]([C@H]2C[C@@H](N3CCC([15*])CC3)[C@H](c3ccccc3-c3ccc(S(=O)(=O)NC(=N)N)cc3)O2)[C@@H]([13*])O1, Score: tensor([0.8322]) 
Step: remove fragment, Previous ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.8770]) 
Step: add fragment, Previous ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: [16*]c1cc(N2CC(=O)N3Cc4[nH]c5ccccc5c4C[C@H]3C2=O)ccc1Cl, Score: tensor([0.5976]) 
Step: remove fragment, Previous ligand: [16*]c1cc(N2CC(=O)N3Cc4[nH]c5ccccc5c4C[C@H]3C2=O)ccc1Cl, New ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.8762]) 
Step: add fragment, Previous ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: Cc1c(F)cccc1N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.7340]) 
Step: remove fragment, Previous ligand: Cc1c(F)cccc1N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.8760]) 
Step: add fragment, Previous ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.8760]) 
Step: add fragment, Previous ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.8760]) 
Step: remove fragment, Previous ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.8760]) 
Step: remove fragment, Previous ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.8760]) 
