Molecule: ./Bromo/rand_n10 
Step: remove fragment, Previous ligand: [1*]C(=O)C(C)(C)C([8*])[8*], New ligand: [1*]C(=O)C(C)(C)C([8*])[8*], Score: tensor([0.5186]) 
Step: remove fragment, Previous ligand: COC(=O)C(C)(C)C(C1CCCCC1)n1c(=O)n(C)c(=O)c2c1ncn2-c1c(Br)cnn1C, New ligand: COC(=O)C(C)(C)C(C1CCCCC1)n1c(=O)n(C)c(=O)c2c1ncn2-c1c(Br)cnn1C, Score: tensor([0.8071]) 
Step: remove fragment, Previous ligand: COC(=O)C(C)(C)C(C1CCCCC1)n1c(=O)n(C)c(=O)c2c1ncn2-c1c(Br)cnn1C, New ligand: COC(=O)C(C)(C)C(C1CCCCC1)n1c(=O)n(C)c(=O)c2c1ncn2-c1c(Br)cnn1C, Score: tensor([0.8071]) 
Step: remove fragment, Previous ligand: COC(=O)C(C)(C)C(C1CCCCC1)n1c(=O)n(C)c(=O)c2c1ncn2-c1c(Br)cnn1C, New ligand: [8*]C(n1c(=O)n(C)c(=O)c2c1ncn2-c1c(Br)cnn1C)C(C)(C)C(=O)OC, Score: tensor([0.8009]) 
Step: add fragment, Previous ligand: [8*]C(n1c(=O)n(C)c(=O)c2c1ncn2-c1c(Br)cnn1C)C(C)(C)C(=O)OC, New ligand: COC(=O)C(C)(C)C(n1cccn1)n1c(=O)n(C)c(=O)c2c1ncn2-c1c(Br)cnn1C, Score: tensor([0.8037]) 
Step: remove fragment, Previous ligand: COC(=O)C(C)(C)C(n1cccn1)n1c(=O)n(C)c(=O)c2c1ncn2-c1c(Br)cnn1C, New ligand: [8*]C(n1c(=O)n(C)c(=O)c2c1ncn2-c1c(Br)cnn1C)C(C)(C)C(=O)OC, Score: tensor([0.7980]) 
Step: remove fragment, Previous ligand: [8*]C(n1c(=O)n(C)c(=O)c2c1ncn2-c1c(Br)cnn1C)C(C)(C)C(=O)OC, New ligand: [8*]C(n1c(=O)n(C)c(=O)c2c1ncn2-c1c(Br)cnn1C)C(C)(C)C(=O)OC, Score: tensor([0.7980]) 
Step: remove fragment, Previous ligand: [8*]C(n1c(=O)n(C)c(=O)c2c1ncn2-c1c(Br)cnn1C)C(C)(C)C(=O)OC, New ligand: [8*]C(n1c(=O)n(C)c(=O)c2c1ncn2-c1c(Br)cnn1C)C(C)(C)C(=O)OC, Score: tensor([0.7980]) 
Step: add fragment, Previous ligand: [8*]C(n1c(=O)n(C)c(=O)c2c1ncn2-c1c(Br)cnn1C)C(C)(C)C(=O)OC, New ligand: COC(=O)C(C)(C)C(C1CC1)n1c(=O)n(C)c(=O)c2c1ncn2-c1c(Br)cnn1C, Score: tensor([0.7956]) 
Step: remove fragment, Previous ligand: COC(=O)C(C)(C)C(C1CC1)n1c(=O)n(C)c(=O)c2c1ncn2-c1c(Br)cnn1C, New ligand: COC(=O)C(C)(C)C(C1CC1)n1c(=O)n(C)c(=O)c2c1ncn2-c1c(Br)cnn1C, Score: tensor([0.7956]) 
Step: remove fragment, Previous ligand: COC(=O)C(C)(C)C(C1CC1)n1c(=O)n(C)c(=O)c2c1ncn2-c1c(Br)cnn1C, New ligand: COC(=O)C(C)(C)C(C1CC1)n1c(=O)n(C)c(=O)c2c1ncn2-c1c(Br)cnn1C, Score: tensor([0.7956]) 
